Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GCT Balance,Training Stress Score®,Grit,Flow,Bottom Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Runs,Max Temp
Running,2019-07-25 06:43:16,false,"San Francisco Running","5.12","277","00:28:15","143","164","2.6","176","193","5:31","5:00","27","30","1.03","0.0","0.0","--","--","0.0","0.0","0.0","0:00","20.0","0:00","No","00:42.24","6","0.0"
Running,2019-07-21 08:34:50,false,"San Francisco Running","18.27","1,163","01:36:13","160","193","5.0","181","201","5:16","4:29","83","81","1.05","0.0","0.0","--","--","0.0","0.0","0.0","0:00","20.0","0:00","No","01:19.93","19","0.0"
Running,2019-07-17 06:51:56,false,"San Francisco Running","5.85","347","00:30:43","149","167","3.5","180","197","5:15","4:32","18","20","1.05","0.0","0.0","--","--","0.0","0.0","0.0","0:00","20.0","0:00","No","04:35.69","6","0.0"
Running,2019-07-14 08:42:34,false,"Redwood City Running","15.06","974","01:20:31","158","176","5.0","177","189","5:21","4:52","27","30","1.06","0.0","0.0","--","--","0.0","0.0","0.0","0:00","21.0","0:00","No","00:20.67","16","0.0"
Running,2019-07-13 08:47:47,false,"San Francisco Running","5.01","343","00:30:08","149","170","3.2","173","202","6:01","4:24","60","65","0.96","0.0","0.0","--","--","0.0","0.0","0.0","0:00","19.0","0:00","No","00:01.51","6","0.0"
Running,2019-07-09 06:16:56,false,"Saint-Malo Running","12.00","809","01:10:53","155","170","4.5","173","185","5:54","4:41","87","92","0.98","0.0","0.0","--","--","0.0","0.0","0.0","0:00","20.0","0:00","No","00:02.05","13","0.0"
Running,2019-07-07 06:00:43,false,"Paris Running","14.24","879","01:27:44","145","167","3.3","170","193","6:10","4:33","92","83","0.96","0.0","0.0","--","--","0.0","0.0","0.0","0:00","23.0","0:00","No","01:12.74","15","0.0"
Running,2019-07-04 14:20:00,false,"San Francisco Running","6.40","383","00:31:56","161","174","3.8","183","199","4:59","4:24","7","8","1.08","6.8","7.4","256","49.4% L / 50.6% R","0.0","0.0","0.0","0:00","24.0","0:00","No","02:13.17","7","0.0"
Running,2019-06-30 06:00:18,false,"Missoula Half Marathon ","21.19","1,237","01:43:39","163","179","5.0","184","219","4:53","3:39","63","53","1.10","6.6","7.5","247","49.8% L / 50.2% R","0.0","0.0","0.0","0:00","13.0","0:00","No","00:44.33","22","0.0"
Running,2019-06-23 07:04:53,false,"San Francisco Running","5.01","346","00:27:49","152","183","3.8","179","195","5:33","4:17","16","18","1.00","0.0","0.0","--","--","0.0","0.0","0.0","0:00","22.0","0:00","No","00:02.98","6","0.0"
Running,2019-06-22 07:56:18,false,"San Francisco Running","3.02","172","00:16:52","131","149","2.1","173","242","5:35","3:43","9","9","1.04","0.0","0.0","--","--","0.0","0.0","0.0","0:00","22.0","0:00","No","00:08.22","4","0.0"
Running,2019-06-16 07:56:29,false,"San Francisco Running","15.30","1,015","01:22:46","154","171","4.5","179","191","5:25","4:25","88","86","1.03","0.0","0.0","--","--","0.0","0.0","0.0","0:00","18.0","0:00","No","01:34.10","16","0.0"
Running,2019-06-15 08:46:40,false,"San Francisco Running","7.59","438","00:39:21","142","161","3.3","181","197","5:11","4:19","15","22","1.07","0.0","0.0","--","--","0.0","0.0","0.0","0:00","18.0","0:00","No","02:56.82","8","0.0"
Running,2019-06-13 06:01:39,false,"Chuo Ku Running","9.00","560","00:51:04","140","156","3.6","176","197","5:40","4:41","37","37","1.00","0.0","0.0","--","--","0.0","0.0","0.0","0:00","23.0","0:00","No","00:00.99","10","0.0"
Running,2019-06-08 05:48:14,false,"Chuo Ku Running","12.21","752","01:05:37","148","163","3.9","177","197","5:22","4:29","56","57","1.05","0.0","0.0","--","--","0.0","0.0","0.0","0:00","25.0","0:00","No","01:14.78","13","0.0"
Running,2019-06-05 07:03:32,false,"San Francisco Running","14.23","879","01:12:40","152","168","4.0","180","193","5:06","4:11","52","53","1.09","0.0","0.0","--","--","0.0","0.0","0.0","0:00","22.0","0:00","No","01:07.74","15","0.0"
Running,2019-06-04 06:52:00,false,"San Francisco Running","5.01","299","00:26:12","141","162","3.2","179","189","5:14","4:29","10","12","1.07","0.0","0.0","--","--","0.0","0.0","0.0","0:00","20.0","0:00","No","00:01.71","6","0.0"
Running,2019-06-02 09:29:51,false,"San Francisco Running","14.01","936","01:15:53","153","176","4.5","179","195","5:25","4:13","97","93","1.03","0.0","0.0","--","--","0.0","0.0","0.0","0:00","21.0","0:00","No","00:02.17","15","0.0"
Running,2019-05-31 06:57:02,false,"San Francisco Running","5.52","342","00:27:57","149","168","3.6","180","194","5:04","4:35","16","21","1.10","0.0","0.0","--","--","0.0","0.0","0.0","0:00","17.0","0:00","No","02:42.18","6","0.0"
Running,2019-05-29 06:52:10,false,"San Francisco Running","5.00","331","00:26:16","153","173","3.6","183","199","5:15","4:43","10","13","1.04","0.0","0.0","--","--","0.0","0.0","0.0","0:00","19.0","0:00","No","00:01.10","6","0.0"
Running,2019-05-27 07:13:54,false,"San Francisco Running","10.10","561","00:56:48","131","148","2.8","176","189","5:37","4:05","46","46","1.01","0.0","0.0","--","--","0.0","0.0","0.0","0:00","18.0","0:00","No","00:32.82","11","0.0"
Running,2019-05-25 08:39:22,false,"Campbell Running","15.02","1,053","01:26:46","154","175","4.7","178","199","5:47","4:45","85","83","0.97","0.0","0.0","--","--","0.0","0.0","0.0","0:00","21.0","0:00","No","00:03.81","17","0.0"
Running,2019-05-24 06:47:01,false,"San Francisco Running","5.06","372","00:29:01","155","172","4.0","175","187","5:44","5:06","22","25","1.00","0.0","0.0","--","--","0.0","0.0","0.0","0:00","20.0","0:00","No","00:29.62","6","0.0"
Running,2019-05-22 06:43:03,false,"San Francisco Running","5.50","373","00:29:33","152","174","3.9","181","193","5:22","4:24","6","8","1.03","0.0","0.0","--","--","0.0","0.0","0.0","0:00","18.0","0:00","No","02:53.68","6","0.0"
Running,2019-05-20 06:41:52,false,"San Francisco Running","5.41","361","00:29:48","147","163","3.4","178","194","5:31","4:48","14","21","1.02","0.0","0.0","--","--","0.0","0.0","0.0","0:00","18.0","0:00","No","02:26.57","6","0.0"
Running,2019-05-18 08:03:30,false,"San Francisco Running","4.03","247","00:22:33","139","165","2.6","179","189","5:35","4:30","17","19","1.00","0.0","0.0","--","--","0.0","0.0","0.0","0:00","19.0","0:00","No","00:12.29","5","0.0"
Running,2019-05-16 06:39:11,false,"San Francisco Running","4.63","304","00:26:25","140","162","3.3","178","191","5:42","5:05","7","10","0.98","0.0","0.0","--","--","0.0","0.0","0.0","0:00","19.0","0:00","No","03:36.59","5","0.0"
Running,2019-05-12 11:30:13,false,"San Francisco Running","6.86","442","00:38:25","141","159","3.4","180","194","5:36","4:47","25","22","0.99","0.0","0.0","--","--","0.0","0.0","0.0","0:00","22.0","0:00","No","04:52.40","7","0.0"
Running,2019-05-11 09:16:44,false,"San Francisco Running","3.57","244","00:20:00","146","164","2.7","179","196","5:36","4:46","5","4","1.00","0.0","0.0","--","--","0.0","0.0","0.0","0:00","20.0","0:00","No","03:11.16","4","0.0"
Running,2019-05-05 08:26:22,false,"San Francisco Running","16.01","963","01:24:56","150","167","4.7","179","198","5:18","3:40","60","61","1.05","0.0","0.0","--","--","0.0","0.0","0.0","0:00","18.0","0:00","No","00:02.23","17","0.0"
Running,2019-05-02 07:21:26,false,"Paso Robles Running","3.17","231","00:19:35","155","177","3.2","177","189","6:10","5:30","18","19","0.91","0.0","0.0","--","--","0.0","0.0","0.0","0:00","15.0","0:00","No","00:55.12","4","0.0"
Running,2019-04-30 06:14:30,false,"San Francisco Running","7.15","458","00:38:01","156","173","4.3","179","193","5:19","4:05","18","19","1.05","0.0","0.0","--","--","0.0","0.0","0.0","0:00","16.0","0:00","No","00:48.41","8","0.0"
Running,2019-04-28 06:55:11,false,"San Francisco Running","13.01","884","01:14:39","157","180","4.8","178","208","5:44","4:25","110","105","0.98","0.0","0.0","--","--","0.0","0.0","0.0","0:00","17.0","0:00","No","00:02.05","14","0.0"
Running,2019-04-26 06:22:11,false,"San Francisco Running","5.29","316","00:26:54","153","166","3.7","182","192","5:05","4:34","33","33","1.08","0.0","0.0","--","--","0.0","0.0","0.0","0:00","17.0","0:00","No","01:17.25","6","0.0"
Running,2019-04-24 05:47:08,false,"Camden Running","6.68","464","00:37:10","159","194","5.0","177","210","5:34","4:27","25","22","1.02","0.0","0.0","--","--","0.0","0.0","0.0","0:00","16.0","0:00","No","03:43.85","7","0.0"
Running,2019-04-23 05:52:55,false,"Camden Running","6.11","364","00:33:40","143","167","3.6","177","195","5:31","4:44","20","20","1.02","0.0","0.0","--","--","0.0","0.0","0.0","0:00","16.0","0:00","No","00:34.79","7","0.0"
Running,2019-04-22 18:12:21,false,"City of Westminster Running","2.41","135","00:15:15","123","132","2.1","168","183","6:20","4:48","6","5","0.94","0.0","0.0","--","--","0.0","0.0","0.0","0:00","26.0","0:00","No","02:32.06","3","0.0"
Running,2019-04-14 07:28:08,false,"Chuo Ku Running","7.01","467","00:39:29","156","172","4.6","175","186","5:38","4:27","22","15","1.02","0.0","0.0","--","--","0.0","0.0","0.0","0:00","20.0","0:00","No","00:02.57","8","0.0"
